sample_number,best_20_appearances,worst_20_appearances,total_appearances,best_20_models,worst_20_models,sample_name
013377,0,1,1,,multi-output Tversky Loss Evaluation,sample_013377
013620,0,1,1,,multi-output Tversky Loss lr 3e-04,sample_013620
014121,0,1,1,,multi-output Tversky Loss Evaluation,sample_014121
014417,0,1,1,,one-output Loss,sample_014417
014422,0,1,1,,multi-output Tversky Loss Evaluation,sample_014422
014828,0,1,1,,multi-output Tversky Loss Evaluation,sample_014828
015392,0,1,1,,multi-output Tversky Loss Evaluation,sample_015392
017229,0,1,1,,multi-output Tversky Loss Evaluation,sample_017229
017438,0,1,1,,one-output Tversky Loss,sample_017438
018168,0,1,1,,multi-output Tversky Loss Evaluation,sample_018168
018254,0,1,1,,multi-output Tversky Loss Evaluation,sample_018254
018311,0,1,1,,multi-output Tversky Loss Evaluation,sample_018311
018315,0,1,1,,multi-output Tversky Loss Evaluation,sample_018315
018378,0,1,1,,multi-output Tversky Loss Evaluation,sample_018378
018840,0,1,1,,multi-output Tversky Loss Evaluation,sample_018840
019404,0,1,1,,multi-output Tversky Loss Evaluation,sample_019404
019533,0,1,1,,multi-output Tversky Loss Evaluation,sample_019533
019576,0,1,1,,multi-output Tversky Loss Evaluation,sample_019576
019819,0,1,1,,multi-output Tversky Loss lr 1e-04,sample_019819
019853,0,1,1,,multi-output Tversky Loss Evaluation,sample_019853
021752,0,1,1,,one-output Tversky Loss,sample_021752
022329,0,1,1,,one-output Tversky Loss,sample_022329
023199,0,1,1,,multi-output Tversky Loss ReduceLROnPlateau,sample_023199
023920,0,1,1,,multi-output BCE/MSE Loss,sample_023920
024794,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_024794
025792,0,1,1,,multi-output Tversky Loss lr 5e-05,sample_025792
026738,0,1,1,,two-output Reconstruction Loss,sample_026738
026825,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_026825
028227,0,1,1,,one-output Tversky Loss,sample_028227
033404,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_033404
033796,0,1,1,,multi-output Tversky Loss,sample_033796
034449,0,1,1,,one-output Tversky Loss,sample_034449
036185,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_036185
036628,0,1,1,,one-output Loss,sample_036628
036719,0,1,1,,two-output Tversky Loss small Dataset,sample_036719
037649,0,1,1,,two-output L1 batch 100,sample_037649
037718,0,1,1,,multi-output BCE/MSE Loss,sample_037718
038443,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_038443
038471,0,1,1,,multi-output Tversky Loss batch 20,sample_038471
039918,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_039918
040288,0,1,1,,multi-output Tversky Loss lr 3e-04,sample_040288
040484,0,1,1,,multi-output Tversky Loss lr 3e-04,sample_040484
041938,0,1,1,,two-output Tversky Loss small Dataset,sample_041938
042230,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_042230
042799,0,1,1,,two-output Tversky Loss small Dataset,sample_042799
044105,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_044105
047438,0,1,1,,two-output Tversky Loss,sample_047438
047512,0,1,1,,one-output Tversky Loss,sample_047512
048559,0,1,1,,one-output Tversky Loss,sample_048559
048954,0,1,1,,multi-output Tversky Loss lr 5e-05,sample_048954
049351,0,1,1,,one-output Tversky Loss,sample_049351
049474,0,1,1,,two-output Tversky Loss,sample_049474
050363,0,1,1,,multi-output Tversky Loss base-channel 32,sample_050363
051171,0,1,1,,multi-output Tversky Loss lr 1e-04,sample_051171
054505,0,1,1,,multi-output Tversky Loss lr 5e-05,sample_054505
055945,0,1,1,,one-output Tversky Loss,sample_055945
055953,0,1,1,,two-output Tversky Loss small Dataset,sample_055953
057577,0,1,1,,one-output Tversky Loss,sample_057577
058880,0,1,1,,one-output Loss,sample_058880
058917,0,1,1,,multi-output Tversky Loss ReduceLROnPlateau,sample_058917
059998,0,1,1,,two-output Reconstruction Loss,sample_059998
060504,0,1,1,,multi-output Tversky Loss lr 1e-04,sample_060504
061433,0,1,1,,two-output Tversky Loss small Dataset,sample_061433
062268,0,1,1,,multi-output Tversky Loss lr 5e-05,sample_062268
062402,0,1,1,,multi-output BCE/MSE Loss,sample_062402
062500,0,1,1,,multi-output Tversky Loss batch 100,sample_062500
062506,0,1,1,,multi-output Tversky Loss final Model,sample_062506
063436,0,1,1,,two-output Tversky Loss small Dataset,sample_063436
063514,0,1,1,,multi-output BCE/MSE Loss,sample_063514
063897,0,1,1,,two-output L1 base-channel 32,sample_063897
063929,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_063929
064567,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_064567
064667,0,1,1,,two-output Tversky Loss small Dataset,sample_064667
064987,0,1,1,,multi-output BCE/MSE Loss,sample_064987
065314,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_065314
066954,0,1,1,,one-output Loss,sample_066954
067038,0,1,1,,one-output Loss,sample_067038
067614,0,1,1,,multi-output Tversky Loss lr 3e-04,sample_067614
067665,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_067665
068129,0,1,1,,multi-output BCE/MSE Loss,sample_068129
068894,0,1,1,,two-output Tversky Loss small Dataset,sample_068894
069133,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_069133
069342,0,1,1,,one-output Tversky Loss,sample_069342
069918,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_069918
070503,0,1,1,,one-output Tversky Loss,sample_070503
070999,0,1,1,,two-output Tversky Loss,sample_070999
071426,0,1,1,,two-output L1 base-channel 32,sample_071426
071544,0,1,1,,two-output Reconstruction Loss,sample_071544
071678,0,1,1,,two-output L1,sample_071678
071989,0,1,1,,multi-output Tversky Loss lr 5e-05,sample_071989
071997,0,1,1,,two-output L1,sample_071997
071999,0,1,1,,two-output Reconstruction Loss,sample_071999
072010,0,1,1,,two-output Tversky Loss,sample_072010
072025,0,1,1,,two-output L1 base-channel 32,sample_072025
072031,0,1,1,,multi-output Tversky Loss base-channel 32,sample_072031
072087,0,1,1,,multi-output Tversky Loss lr 3e-04,sample_072087
072434,0,1,1,,multi-output Tversky Loss base-channel 32,sample_072434
072738,0,1,1,,two-output L1 batch 100,sample_072738
072865,0,1,1,,multi-output Tversky Loss batch 100,sample_072865
073272,0,1,1,,multi-output Tversky Loss,sample_073272
073338,0,1,1,,two-output Reconstruction Loss,sample_073338
073354,0,1,1,,two-output L1 batch 100,sample_073354
073424,0,1,1,,multi-output BCE/MSE Loss,sample_073424
073451,0,1,1,,two-output L1,sample_073451
073744,0,1,1,,multi-output Tversky Loss lr 3e-04,sample_073744
074041,0,1,1,,multi-output Tversky Loss base-channel 32,sample_074041
074062,0,1,1,,two-output Reconstruction Loss,sample_074062
074185,0,1,1,,two-output L1 base-channel 32,sample_074185
074260,0,1,1,,two-output Tversky Loss small Dataset,sample_074260
074398,0,1,1,,two-output L1,sample_074398
074494,0,1,1,,two-output L1 base-channel 32,sample_074494
074753,0,1,1,,one-output Loss,sample_074753
074934,0,1,1,,multi-output Tversky Loss base-channel 32,sample_074934
074961,0,1,1,,two-output Reconstruction Loss,sample_074961
075274,0,1,1,,multi-output Tversky Loss,sample_075274
075533,0,1,1,,two-output Tversky Loss,sample_075533
075562,0,1,1,,multi-output BCE/MSE Loss,sample_075562
075619,0,1,1,,two-output L1,sample_075619
075665,0,1,1,,multi-output BCE/MSE Loss,sample_075665
075688,0,1,1,,one-output Loss,sample_075688
075786,0,1,1,,two-output L1 base-channel 32,sample_075786
075917,0,1,1,,multi-output Tversky Loss lr 5e-05,sample_075917
076182,0,1,1,,one-output Tversky Loss,sample_076182
076423,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_076423
076445,0,1,1,,two-output Reconstruction Loss,sample_076445
076699,0,1,1,,multi-output Tversky Loss,sample_076699
077026,0,1,1,,multi-output Tversky Loss lr 5e-05,sample_077026
077333,0,1,1,,two-output Tversky Loss small Dataset,sample_077333
077485,0,1,1,,two-output Tversky Loss small Dataset,sample_077485
077500,0,1,1,,multi-output BCE/MSE Loss,sample_077500
077570,0,1,1,,multi-output Tversky Loss,sample_077570
077616,0,1,1,,one-output Tversky Loss,sample_077616
077749,0,1,1,,one-output Tversky Loss,sample_077749
078009,0,1,1,,multi-output Tversky Loss,sample_078009
078039,0,1,1,,two-output L1 base-channel 32,sample_078039
078131,0,1,1,,multi-output Tversky Loss,sample_078131
078164,0,1,1,,two-output Tversky Loss small Dataset,sample_078164
078397,0,1,1,,multi-output Tversky Loss batch 100,sample_078397
078481,0,1,1,,one-output Tversky Loss,sample_078481
078672,0,1,1,,multi-output Tversky Loss,sample_078672
078913,0,1,1,,two-output Tversky Loss small Dataset,sample_078913
079037,0,1,1,,two-output L1 base-channel 32,sample_079037
079405,0,1,1,,multi-output Tversky Loss final Model,sample_079405
079437,0,1,1,,multi-output BCE/MSE Loss small Dataset,sample_079437
079691,0,1,1,,multi-output Tversky Loss lr 1e-04,sample_079691
079764,0,1,1,,two-output Tversky Loss,sample_079764
079843,0,1,1,,one-output Tversky Loss,sample_079843
079872,0,1,1,,one-output Loss,sample_079872
